Stanje,Pregledi,Cijena,Proizvodjac,Model,Gorivo,Godiste,Transmisija,Kilometraza,Kubikaza,Snaga motora (KW),Broj vrata
Koristeno,3321.0,45900,Skoda,Kodiaq,Dizel,2019.0,Automatik,172827,2.0,110.0,4/5
Koristeno,18496.0,10499,Volkswagen,Polo,Dizel,2009.0,Manuelni,230000,1.6,55.0,4/5
Koristeno,4097.0,,Skoda,Superb,Dizel,2018.0,Automatik,202145,2.0,140.0,4/5
Koristeno,2117.0,,Renault,Kadjar,Dizel,2019.0,Manuelni,198743,1.6,96.0,4/5
Koristeno,759.0,24900,Skoda,Octavia Scout,Dizel,2015.0,Automatik,178704,2.0,135.0,4/5
Koristeno,50.0,1800,Ford,Fiesta,Benzin,1994.0,Manuelni,230000,1.1,47.0,4/5
Koristeno,1485.0,10999,Peugeot,308,Dizel,2012.0,Manuelni,233333,1.6,82.0,4/5
Koristeno,1457.0,,Fiat,500C,Benzin,2010.0,Manuelni,135000,1.2,59.0,2/3
Koristeno,58.0,,Peugeot,208,Benzin,2020.0,Manuelni,30503,1.2,55.0,4/5
Koristeno,1097.0,26900,Audi,A3,Dizel,2014.0,Automatik,277697,2.0,135.0,4/5
Koristeno,618.0,,Volkswagen,Golf,Benzin,2010.0,Manuelni,195000,1.4,90.0,2/3
Koristeno,2583.0,18900,BMW,X1,Dizel,2012.0,Manuelni,246793,2.0,105.0,4/5
Koristeno,633.0,13300,Citroen,Berlingo,Dizel,2011.0,Automatik,174758,1.6,68.0,4/5
Koristeno,506.0,32990,BMW,530,Dizel,2012.0,Automatik,320000,3.0,190.0,4/5
Koristeno,1539.0,26500,Audi,A4 Allroad,Dizel,2013.0,Automatik,264129,3.0,180.0,4/5
Koristeno,2893.0,3999,Skoda,Octavia,Dizel,2000.0,Manuelni,360000,1.9,66.0,4/5
Koristeno,5360.0,11990,Skoda,Octavia,Dizel,2012.0,Manuelni,267000,1.6,77.0,4/5
Koristeno,495.0,35980,Skoda,Karoq,Dizel,2018.0,Manuelni,108028,1.6,85.0,4/5
Koristeno,39802.0,45000,Mercedes-Benz,C 250,Dizel,2016.0,Automatik,280000,2.2,150.0,4/5
Koristeno,23061.0,,Volkswagen,Tiguan,Dizel,2017.0,Automatik,241000,2.0,140.0,4/5
Koristeno,1711.0,215000,Porsche,Cayenne,Benzin,2022.0,Automatik,62500,4.0,338.0,4/5
Koristeno,299.0,43400,Volvo,XC40,Dizel,2019.0,Automatik,189082,2.0,110.0,4/5
Koristeno,5194.0,17900,Volvo,V40,Benzin,2014.0,Manuelni,210000,1.6,110.0,4/5
Koristeno,2703.0,18900,Volkswagen,Passat,Dizel,2013.0,Automatik,237000,2.0,130.0,4/5
Koristeno,44.0,,Volvo,XC 60,Dizel,2023.0,Automatik,10,2.0,145.0,4/5
Koristeno,1941.0,,Skoda,Scala,Dizel,2019.0,Manuelni,167700,1.6,85.0,4/5
Koristeno,1599.0,27980,Peugeot,2008,Dizel,2019.0,Manuelni,132057,1.5,75.0,4/5
Koristeno,3128.0,21900,Skoda,Superb,Dizel,2015.0,Automatik,267000,2.0,125.0,4/5
Koristeno,634.0,50500,BMW,X5,Dizel,2015.0,Automatik,240000,2.0,160.0,4/5
Koristeno,3513.0,26980,Peugeot,2008,Dizel,2018.0,Manuelni,99919,1.6,73.0,4/5
Koristeno,5989.0,22000,Volkswagen,Passat,Dizel,2017.0,Manuelni,218900,1.6,88.0,4/5
Koristeno,2012.0,24999,Audi,A4,Dizel,2012.0,Automatik,265111,2.0,105.0,4/5
Koristeno,3919.0,23900,Kia,Sportage,Dizel,2014.0,Automatik,214000,2.0,135.0,4/5
Koristeno,2841.0,,Volkswagen,Passat,Dizel,2012.0,Automatik,171150,2.0,103.0,4/5
Koristeno,6774.0,29000,BMW,730,Dizel,2009.0,Automatik,281000,3.0,180.0,4/5
Koristeno,4037.0,32200,Volkswagen,Golf,Benzin,2014.0,Automatik,220000,2.0,169.0,4/5
Koristeno,3692.0,75000,Audi,Q7,Dizel,2016.0,Automatik,206000,3.0,160.0,4/5
Koristeno,7199.0,14900,Skoda,Octavia,Dizel,2014.0,Manuelni,275000,2.0,110.0,4/5
Koristeno,1112.0,47000,Audi,A6,Dizel,2016.0,Automatik,280000,3.0,200.0,4/5
Koristeno,44787.0,85000,Mercedes-Benz,E 220,Dizel,2018.0,Automatik,105000,2.2,143.0,2/3
Koristeno,628.0,14900,Volkswagen,Touran,Dizel,2010.0,Manuelni,251623,2.0,103.0,4/5
Koristeno,3201.0,47900,Volkswagen,Passat,Dizel,2019.0,Automatik,164000,2.0,140.0,4/5
Koristeno,18161.0,24900,Audi,A3,Dizel,2013.0,Manuelni,190000,2.0,110.0,4/5
Koristeno,6991.0,,Volkswagen,Passat,Dizel,2010.0,Manuelni,250000,2.0,103.0,4/5
Koristeno,1437.0,16900,Audi,A6 Allroad,Dizel,2007.0,Automatik,337000,3.0,171.0,4/5
Koristeno,229.0,29900,Volkswagen,Passat,Dizel,2016.0,Manuelni,219258,1.6,88.0,4/5
Koristeno,1611.0,20500,Volkswagen,Golf,Dizel,2013.0,Manuelni,230000,1.6,77.0,4/5
Koristeno,2804.0,,Volkswagen,Golf,Dizel,2014.0,Manuelni,268000,1.6,81.0,4/5
Koristeno,171.0,8850,Fiat,Panda,Benzin,2012.0,Manuelni,123700,1.2,51.0,4/5
Koristeno,886.0,9850,Audi,A6,Benzin,2004.0,Automatik,312000,3.2,188.0,4/5
Koristeno,482.0,41900,Peugeot,5008,Dizel,2018.0,Manuelni,130000,2.0,140.0,4/5
Koristeno,101.0,15350,Volkswagen,Golf,Dizel,2011.0,Manuelni,211800,1.6,77.0,4/5
Koristeno,371.0,20900,Volkswagen,Golf,Dizel,2013.0,Manuelni,193000,1.6,77.0,4/5
Koristeno,891.0,11900,Opel,Astra,Dizel,2011.0,Automatik,193778,2.0,121.0,4/5
Koristeno,2792.0,44800,Audi,A6,Dizel,2015.0,Automatik,245000,3.0,170.0,4/5
Koristeno,16272.0,87000,Mercedes-Benz,S 350,Dizel,2017.0,Automatik,121000,3.0,190.0,4/5
Koristeno,10256.0,29000,Kia,Sportage,Dizel,2017.0,Manuelni,169000,1.7,104.0,4/5
Koristeno,7028.0,19900,Audi,A5,Benzin,2009.0,Manuelni,161000,2.0,155.0,2/3
Koristeno,56.0,15500,Ford,Fiesta,Benzin,2011.0,Manuelni,109000,1.6,88.0,4/5
Koristeno,562.0,9900,Skoda,Octavia,Dizel,2011.0,Manuelni,246000,1.6,77.0,4/5
Koristeno,5493.0,11900,Skoda,Rapid,Dizel,2014.0,Manuelni,211000,1.6,66.0,4/5
Koristeno,3326.0,16500,Skoda,Octavia,Dizel,2014.0,Manuelni,300000,1.6,77.0,4/5
Koristeno,2139.0,63900,Volvo,XC 90,Dizel,2015.0,Automatik,2,2.0,165.0,4/5
Koristeno,4457.0,31900.0,Audi,A6,Dizel,2014.0,Automatik,248196,3.0,150.0,4/5
Koristeno,15391.0,47990.0,Volkswagen,Tiguan,Dizel,2017.0,Automatik,243000,2.0,140.0,4/5
Koristeno,38213.0,,Mercedes-Benz,E 350,Hibrid,2018.0,Automatik,218800,2.0,155.0,4/5
Koristeno,440.0,21900.0,Volkswagen,Golf,Dizel,2014.0,Manuelni,225000,1.6,81.0,4/5
Koristeno,774.0,8999.0,Volkswagen,Passat,Dizel,2005.0,Manuelni,315231,2.0,103.0,4/5
Koristeno,9487.0,,BMW,116,Dizel,2011.0,Manuelni,236000,1.6,85.0,4/5
Koristeno,2229.0,11600.0,Skoda,Octavia,Dizel,2010.0,Manuelni,260000,2.0,103.0,4/5
